asin,image_url,filename,local_image_path,image_width,image_height,aspect_ratio,file_size_mb
B0HCNYJM8Z,https://m.media-amazon.com/images/I/613tyoH+smL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0HCNYJM8Z.jpg,/content/data/images/B0HCNYJM8Z.jpg,251,300,0.8366666666666667,0.02915668487548828
B0GFF3RCCL,https://m.media-amazon.com/images/I/511IigIBpoL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0GFF3RCCL.jpg,/content/data/images/B0GFF3RCCL.jpg,238,300,0.7933333333333333,0.012248039245605469
B0HBWW3958,https://m.media-amazon.com/images/I/61D5ZCSIymL._AC_SX425_.jpg,B0HBWW3958.jpg,/content/data/images/B0HBWW3958.jpg,425,503,0.8449304174950298,0.050574302673339844
B0H9LHWBDK,https://m.media-amazon.com/images/I/61odQgshCWL._AC_SY450_.jpg,B0H9LHWBDK.jpg,/content/data/images/B0H9LHWBDK.jpg,358,450,0.7955555555555556,0.03889274597167969
B0H7R1LD7B,https://m.media-amazon.com/images/I/71cmAChhQKL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0H7R1LD7B.jpg,/content/data/images/B0H7R1LD7B.jpg,292,300,0.9733333333333334,0.038059234619140625
B0H6PMTQWW,https://m.media-amazon.com/images/I/713-tT2kBmL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0H6PMTQWW.jpg,/content/data/images/B0H6PMTQWW.jpg,269,300,0.8966666666666666,0.0369110107421875
B0BTYCRJSS,https://m.media-amazon.com/images/I/51Yya2WtvkL._AC_SY550_.jpg,B0BTYCRJSS.jpg,/content/data/images/B0BTYCRJSS.jpg,391,550,0.7109090909090909,0.03188514709472656
B0H5W2YR99,https://m.media-amazon.com/images/I/61DzAvRWJlL._AC_SX425_.jpg,B0H5W2YR99.jpg,/content/data/images/B0H5W2YR99.jpg,425,437,0.9725400457665904,0.04583930969238281
B0HBW8PTYN,https://m.media-amazon.com/images/I/61PPiCaslSL._AC_SX425_.jpg,B0HBW8PTYN.jpg,/content/data/images/B0HBW8PTYN.jpg,425,473,0.8985200845665962,0.027494430541992188
B0HBVXBZPZ,https://m.media-amazon.com/images/I/61Jz5Ga1WkL._AC_SX425_.jpg,B0HBVXBZPZ.jpg,/content/data/images/B0HBVXBZPZ.jpg,425,435,0.9770114942528736,0.04558086395263672
B0H2VF6SPP,https://m.media-amazon.com/images/I/715Y2eeg1mL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0H2VF6SPP.jpg,/content/data/images/B0H2VF6SPP.jpg,277,300,0.9233333333333333,0.036956787109375
B0HDB6MTYJ,https://m.media-amazon.com/images/I/61P4QAI28CL._AC_SX425_.jpg,B0HDB6MTYJ.jpg,/content/data/images/B0HDB6MTYJ.jpg,425,505,0.8415841584158416,0.04030895233154297
B0H8Y9LL1G,https://m.media-amazon.com/images/I/61Vg5tvG7pL._AC_SX425_.jpg,B0H8Y9LL1G.jpg,/content/data/images/B0H8Y9LL1G.jpg,425,549,0.7741347905282332,0.07560920715332031
B0DD41G2NZ,https://m.media-amazon.com/images/I/818Tszb+hNL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0DD41G2NZ.jpg,/content/data/images/B0DD41G2NZ.jpg,300,291,1.0309278350515463,0.03553009033203125
B0D9R4GYTN,https://m.media-amazon.com/images/I/51B6+Iyd3ML._AC_SX425_.jpg,B0D9R4GYTN.jpg,/content/data/images/B0D9R4GYTN.jpg,425,146,2.910958904109589,0.011937141418457031
B0GQYVSTH9,https://m.media-amazon.com/images/I/61tLeHMWJYL._AC_SX425_.jpg,B0GQYVSTH9.jpg,/content/data/images/B0GQYVSTH9.jpg,425,494,0.8603238866396761,0.04972267150878906
B0G1PJLWLZ,https://m.media-amazon.com/images/I/51QEHqsjzPL._AC_SX569_.jpg,B0G1PJLWLZ.jpg,/content/data/images/B0G1PJLWLZ.jpg,569,821,0.6930572472594397,0.047183990478515625
B0FNRXZV67,https://m.media-amazon.com/images/I/51Cl+s8HMXL._AC_SX425_.jpg,B0FNRXZV67.jpg,/content/data/images/B0FNRXZV67.jpg,425,511,0.8317025440313112,0.024427413940429688
B0H9LRGB3B,https://m.media-amazon.com/images/I/61Ks69uUYZL._AC_SY450_.jpg,B0H9LRGB3B.jpg,/content/data/images/B0H9LRGB3B.jpg,374,450,0.8311111111111111,0.04181194305419922
B0H6VZSB53,https://m.media-amazon.com/images/I/81ppNw5A-UL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0H6VZSB53.jpg,/content/data/images/B0H6VZSB53.jpg,284,300,0.9466666666666667,0.03713512420654297
B0HCTW6BYT,https://m.media-amazon.com/images/I/61Xvam+v1mL._AC_SX425_.jpg,B0HCTW6BYT.jpg,/content/data/images/B0HCTW6BYT.jpg,425,628,0.6767515923566879,0.04010200500488281
B0CQJYT1YD,https://m.media-amazon.com/images/I/61fAcxil49L._AC_SY300_SX300_QL70_FMwebp_.jpg,B0CQJYT1YD.jpg,/content/data/images/B0CQJYT1YD.jpg,279,300,0.93,0.01856708526611328
