cluster_id,visual_group,group_size
0,visual_group_1,15
1,visual_group_2,48
2,visual_group_3,60
3,visual_group_4,15
4,visual_group_5,48
5,visual_group_6,16
6,visual_group_7,49
7,visual_group_8,48
8,visual_group_9,49
9,visual_group_10,19
10,visual_group_11,62
11,visual_group_12,55
12,visual_group_13,47
13,visual_group_14,20
14,visual_group_15,16
15,visual_group_16,38
16,visual_group_17,56
17,visual_group_18,13
18,visual_group_19,33
19,visual_group_20,62
20,visual_group_21,16
21,visual_group_22,42
22,visual_group_23,28
23,visual_group_24,67
24,visual_group_25,24
